Song Title,Primary Artist,Album/Single/EP,Apple Music URL,Artwork,Country-Restricted (Check if unavailable in certain countries)
When I'm Gone,3 Doors Down,Away from the Sun,https://geo.music.apple.com/ca/album/when-im-gone/1440739556?i=1440739780&app=music&at=11lt62&ct=tracklink,2021-07-10 12.40.00.jpg (https://dl.airtable.com/.attachments/079c568c87ff0680eea2364525ee6e02/4eea9db1/2021-07-1012.40.00.jpg),
What's Up?,4 Non Blondes,"""Bigger, Better, Faster, More!""",https://geo.music.apple.com/ca/album/whats-up/1440902342?i=1440902348&app=music&at=11lt62&ct=tracklink,2021-07-10 23.35.55.jpg (https://dl.airtable.com/.attachments/e04d41cf6a3b95242289ff4a49534413/0ea75ac5/2021-07-1023.35.55.jpg),
Lie to Me,5 Seconds of Summer,Youngblood (Deluxe),https://geo.music.apple.com/ca/album/lie-to-me/1369109074?i=1369109324&app=music&at=11lt62&ct=tracklink,2021-07-10 12.38.54.jpg (https://dl.airtable.com/.attachments/55ced7010525aa044db1fda439d9a51e/ff670e2c/2021-07-1012.38.54.jpg),
Valentine,5 Seconds of Summer,Youngblood (Deluxe),https://geo.music.apple.com/ca/album/valentine/1369109074?i=1369109325&app=music&at=11lt62&ct=tracklink,2021-07-10 12.38.58.jpg (https://dl.airtable.com/.attachments/8883f16b9dffca75bdecf2266f941d38/3b9215b0/2021-07-1012.38.58.jpg),
Want You Back,5 Seconds of Summer,Youngblood (Deluxe),https://geo.music.apple.com/ca/album/want-you-back/1369109074?i=1369109323&app=music&at=11lt62&ct=tracklink,2021-07-10 12.39.02.jpg (https://dl.airtable.com/.attachments/d962fb34a61be5719593b60450f49bc3/3680b9f3/2021-07-1012.39.02.jpg),
Youngblood,5 Seconds of Summer,Youngblood (Deluxe),https://geo.music.apple.com/ca/album/youngblood/1369109074?i=1369109322&app=music&at=11lt62&ct=tracklink,2021-07-10 12.39.07.jpg (https://dl.airtable.com/.attachments/0868f214e54db24fda75d2b7b171c27b/c05f016d/2021-07-1012.39.07.jpg),
Fallen Blixkys,22Gz,Fallen Blixkys - Single,https://geo.music.apple.com/ca/album/fallen-blixkys/1541423263?i=1541423264&app=music&at=11lt62&ct=tracklink,2021-07-10 23.38.55.jpg (https://dl.airtable.com/.attachments/d74149620c4d31e69288c01cd3552560/83d83e64/2021-07-1023.38.55.jpg),
Blixky Gang Freestyle Pt. 2,22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/blixky-gang-freestyle-pt-2/1557548785?i=1557549245&app=music&at=11lt62&ct=tracklink,2021-07-10 12.42.24.jpg (https://dl.airtable.com/.attachments/0c502e84f8e9f97642d9f78b5e249dfe/f33cd931/2021-07-1012.42.24.jpg),
Casa,22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/casa/1557548785?i=1557549378&app=music&at=11lt62&ct=tracklink,2021-07-10 12.42.18.jpg (https://dl.airtable.com/.attachments/67b25559c6bd015fa1cbb266491fea7e/8321f426/2021-07-1012.42.18.jpg),
Collections,22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/collections/1557548785?i=1557549368&app=music&at=11lt62&ct=tracklink,2021-07-10 12.42.34.jpg (https://dl.airtable.com/.attachments/63875154c658d3050c087702ef0dcd3d/cd81c4a0/2021-07-1012.42.34.jpg),
"GTA (feat. Jah Floxks, Balenci & Saint Laurent Sour)",22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/gta-feat-jah-floxks-balenci-saint-laurent-sour/1557548785?i=1557549586&app=music&at=11lt62&ct=tracklink,2021-07-10 12.42.39.jpg (https://dl.airtable.com/.attachments/9252f24c8ef8c61b79dcb7e132b033ba/a4b8901e/2021-07-1012.42.39.jpg),
Jokes Up,22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/jokes-up/1557548785?i=1557549234&app=music&at=11lt62&ct=tracklink,2021-07-10 12.42.43.jpg (https://dl.airtable.com/.attachments/5bf3a410255aac171b861b2a0765e79d/b9735f3a/2021-07-1012.42.43.jpg),
LLNB,22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/llnb/1557548785?i=1557549583&app=music&at=11lt62&ct=tracklink,2021-07-10 12.42.48.jpg (https://dl.airtable.com/.attachments/429c6761df53f741f927167af1ec580b/ad85cfe8/2021-07-1012.42.48.jpg),
Never Be The Same (feat. Jackboy),22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/never-be-the-same-feat-jackboy/1557548785?i=1557549236&app=music&at=11lt62&ct=tracklink,2021-07-10 12.42.52.jpg (https://dl.airtable.com/.attachments/9d2812c771c92c37975256be282e6db6/9394db26/2021-07-1012.42.52.jpg),
No Love City (feat. Julio Foolio & SPMB Bills),22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/no-love-city-feat-julio-foolio-spmb-bills/1557548785?i=1557549241&app=music&at=11lt62&ct=tracklink,2021-07-10 12.42.56.jpg (https://dl.airtable.com/.attachments/31e6405cfb0fc2f4861a51bcc1fbbba0/38fb60ca/2021-07-1012.42.56.jpg),
Pornstar,22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/pornstar/1557548785?i=1557549375&app=music&at=11lt62&ct=tracklink,2021-07-10 12.43.00.jpg (https://dl.airtable.com/.attachments/6a3d4c67144fad24f74e867b59da27d3/2325e2e6/2021-07-1012.43.00.jpg),
Twirlanta,22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/twirlanta/1557548785?i=1557548792&app=music&at=11lt62&ct=tracklink,2021-07-10 12.43.04.jpg (https://dl.airtable.com/.attachments/14b2509bb955b4e0d6d28dc535a8af42/830bb5e8/2021-07-1012.43.04.jpg),
Waterfall,22Gz,The Blixky Tape 2,https://geo.music.apple.com/ca/album/waterfall/1557548785?i=1557549370&app=music&at=11lt62&ct=tracklink,2021-07-10 12.43.08.jpg (https://dl.airtable.com/.attachments/fef4bf28883fd469b382a6d293abe554/c457bb61/2021-07-1012.43.08.jpg),
Morrow,070 Shake,Morrow - Single,https://geo.music.apple.com/ca/album/morrow/1458826526?i=1458826527&app=music&at=11lt62&ct=tracklink,,
Guilty Conscience,070 Shake,Guilty Conscience - Single,https://geo.music.apple.com/ca/album/guilty-conscience/1492318636?i=1492318640&app=music&at=11lt62&ct=tracklink,,
Nice to Have,070 Shake,Nice to Have - Single,https://geo.music.apple.com/ca/album/nice-to-have/1458828045?i=1458828177&app=music&at=11lt62&ct=tracklink,,
Come Around,070 Shake,Modus Vivendi,https://geo.music.apple.com/ca/album/come-around/1495833777?i=1495833780&app=music&at=11lt62&ct=tracklink,2021-07-10 23.37.16.jpg (https://dl.airtable.com/.attachments/feaad0955c4516a24c4ae683f1394d8a/6f84d209/2021-07-1023.37.16.jpg),
Daydreamin,070 Shake,Modus Vivendi,https://geo.music.apple.com/ca/album/daydreamin/1495833777?i=1495834638&app=music&at=11lt62&ct=tracklink,2021-07-10 23.37.26.jpg (https://dl.airtable.com/.attachments/e15c77a510c5764edefa53d681e6ce15/4c4fe9c4/2021-07-1023.37.26.jpg),
Divorce,070 Shake,Modus Vivendi,https://geo.music.apple.com/ca/album/divorce/1495833777?i=1495834627&app=music&at=11lt62&ct=tracklink,2021-07-10 23.37.11.jpg (https://dl.airtable.com/.attachments/a41271cf0ce181577caa8d51cc68d5a1/b8385ed2/2021-07-1023.37.11.jpg),
Don't Break the Silence,070 Shake,Modus Vivendi,https://geo.music.apple.com/ca/album/dont-break-the-silence/1495833777?i=1495833778&app=music&at=11lt62&ct=tracklink,2021-07-10 23.37.30.jpg (https://dl.airtable.com/.attachments/4894abefe5f7f28b927be0f35ba65ad9/f4571cf7/2021-07-1023.37.30.jpg),
Flight319,070 Shake,Modus Vivendi,https://geo.music.apple.com/ca/album/flight319/1495833777?i=1495834643&app=music&at=11lt62&ct=tracklink,2021-07-10 23.37.42.jpg (https://dl.airtable.com/.attachments/0ce3daf8ca7e15a192471a5004726aa9/880c3e02/2021-07-1023.37.42.jpg),
Microdosing,070 Shake,Modus Vivendi,https://geo.music.apple.com/ca/album/microdosing/1495833777?i=1495834634&app=music&at=11lt62&ct=tracklink,2021-07-10 23.37.37.jpg (https://dl.airtable.com/.attachments/4b2194250f031656196a03613ac77517/2a9f5747/2021-07-1023.37.37.jpg),
Rocketship,070 Shake,Modus Vivendi,https://geo.music.apple.com/ca/album/rocketship/1495833777?i=1495834631&app=music&at=11lt62&ct=tracklink,2021-07-10 23.37.47.jpg (https://dl.airtable.com/.attachments/ad9183d09ce64017bea0717b9a3698be/87dbeebd/2021-07-1023.37.47.jpg),
Terminal B,070 Shake,Modus Vivendi,https://geo.music.apple.com/ca/album/terminal-b/1495833777?i=1495834641&app=music&at=11lt62&ct=tracklink,2021-07-10 23.37.52.jpg (https://dl.airtable.com/.attachments/1160671201fac7f5600b6bbfacf5b129/ab6c9e69/2021-07-1023.37.52.jpg),
The Pines,070 Shake,Modus Vivendi,https://geo.music.apple.com/ca/album/the-pines/1495833777?i=1495833785&app=music&at=11lt62&ct=tracklink,2021-07-10 23.37.56.jpg (https://dl.airtable.com/.attachments/e5d70dee3ac0bbcd23e6c22550381b30/43427c0a/2021-07-1023.37.56.jpg),
Under the Moon,070 Shake,Under the Moon - Single,https://geo.music.apple.com/ca/album/under-the-moon/1490487681?i=1490487940&app=music&at=11lt62&ct=tracklink,,
Reply (feat. Lil Uzi Vert),A Boogie wit da Hoodie,Reply (feat. Lil Uzi Vert) - Single,https://geo.music.apple.com/ca/album/reply-feat-lil-uzi-vert/1487262914?i=1487262915&app=music&at=11lt62&ct=tracklink,,
Mood Swings,A Boogie wit da Hoodie,Mood Swings - Single,https://geo.music.apple.com/ca/album/mood-swings/1478467209?i=1478467211&app=music&at=11lt62&ct=tracklink,,
King of My City,A Boogie wit da Hoodie,King of My City - Single,https://geo.music.apple.com/ca/album/king-of-my-city/1496875625?i=1496875780&app=music&at=11lt62&ct=tracklink,,
Cinderella Story,A Boogie wit da Hoodie,Artist 2.0 (Deluxe),https://geo.music.apple.com/ca/album/cinderella-story/1519275730?i=1519276825&app=music&at=11lt62&ct=tracklink,2021-07-10 23.40.03.jpg (https://dl.airtable.com/.attachments/66a90ff13de4428c33d0ea5c2412bcfe/4f8a9e0d/2021-07-1023.40.03.jpg),
Might Not Give Up (feat. Young Thug),A Boogie wit da Hoodie,Artist 2.0 (Deluxe),https://geo.music.apple.com/ca/album/might-not-give-up-feat-young-thug/1519275730?i=1519276820&app=music&at=11lt62&ct=tracklink,2021-07-10 23.40.11.jpg (https://dl.airtable.com/.attachments/9e61f0da855f60226b25e23f9a608478/12ab0117/2021-07-1023.40.11.jpg),
Another Day Gone (feat. Khalid),A Boogie wit da Hoodie,Artist 2.0,https://geo.music.apple.com/ca/album/another-day-gone-feat-khalid/1498673868?i=1498673880&app=music&at=11lt62&ct=tracklink,2021-07-10 23.40.24.jpg (https://dl.airtable.com/.attachments/f5b511a82d9a5718466117b64bc4d8cb/226e5d9f/2021-07-1023.40.24.jpg),
Big Shit,A Boogie wit da Hoodie,Artist 2.0,https://geo.music.apple.com/ca/album/big-shit/1498673868?i=1498673884&app=music&at=11lt62&ct=tracklink,2021-07-10 23.40.33.jpg (https://dl.airtable.com/.attachments/38ccd1cde018ea1e8b53c5933eb48ef0/53d7996a/2021-07-1023.40.33.jpg),
Blood On My Denim,A Boogie wit da Hoodie,Artist 2.0,https://geo.music.apple.com/ca/album/blood-on-my-denim/1498673868?i=1498673882&app=music&at=11lt62&ct=tracklink,2021-07-10 23.41.19.jpg (https://dl.airtable.com/.attachments/2199de760629f0ac68dd3f3f3018bc39/6457efb2/2021-07-1023.41.19.jpg),
Calm Down (Bittersweet) [feat. Summer Walker],A Boogie wit da Hoodie,Artist 2.0,https://geo.music.apple.com/ca/album/calm-down-bittersweet-feat-summer-walker/1498673868?i=1498673879&app=music&at=11lt62&ct=tracklink,2021-07-10 23.41.32.jpg (https://dl.airtable.com/.attachments/504e97af10ace7626264a9b8c4e31a82/bfb6db93/2021-07-1023.41.32.jpg),
DTB 4 Life,A Boogie wit da Hoodie,Artist 2.0,https://geo.music.apple.com/ca/album/dtb-4-life/1498673868?i=1498673878&app=music&at=11lt62&ct=tracklink,2021-07-10 23.41.36.jpg (https://dl.airtable.com/.attachments/a8ce1e119609976ddcdd284b422cec03/770822ef/2021-07-1023.41.36.jpg),
Good Girls Gone Bad,A Boogie wit da Hoodie,Artist 2.0,https://geo.music.apple.com/ca/album/good-girls-gone-bad/1498673868?i=1498673881&app=music&at=11lt62&ct=tracklink,2021-07-10 23.41.41.jpg (https://dl.airtable.com/.attachments/5986316babcc9c2cc1ef0a605977a1ac/b67d4685/2021-07-1023.41.41.jpg),
Hit 'Em Up (feat. Trap Manny),A Boogie wit da Hoodie,Artist 2.0,https://geo.music.apple.com/ca/album/hit-em-up-feat-trap-manny/1498673868?i=1498673877&app=music&at=11lt62&ct=tracklink,2021-07-10 23.41.46.jpg (https://dl.airtable.com/.attachments/a509ec25a64855319e7f7d4ab5764659/b9554f6e/2021-07-1023.41.46.jpg),
Luv Is Art (feat. Lil Uzi Vert),A Boogie wit da Hoodie,Artist 2.0,https://geo.music.apple.com/ca/album/luv-is-art-feat-lil-uzi-vert/1498673868?i=1498674097&app=music&at=11lt62&ct=tracklink,2021-07-10 23.41.54.jpg (https://dl.airtable.com/.attachments/1cd10c360728e2f9216fca8022ba27aa/c3ee2853/2021-07-1023.41.54.jpg),
Me and My Guitar,A Boogie wit da Hoodie,Artist 2.0,https://geo.music.apple.com/ca/album/me-and-my-guitar/1498673868?i=1498673873&app=music&at=11lt62&ct=tracklink,2021-07-10 23.41.59.jpg (https://dl.airtable.com/.attachments/197c99aaf7a52c85deef322b215dd9ac/ff95d9da/2021-07-1023.41.59.jpg),
"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie wit da Hoodie,Artist 2.0,https://geo.music.apple.com/ca/album/numbers-feat-roddy-ricch-gunna-and-london-on-da-track/1498673868?i=1498673875&app=music&at=11lt62&ct=tracklink,2021-07-10 23.42.04.jpg (https://dl.airtable.com/.attachments/9a066cc79adc41c090ac180c9ce3c833/e3e8976a/2021-07-1023.42.04.jpg),
R.O.D.,A Boogie wit da Hoodie,Artist 2.0,https://geo.music.apple.com/ca/album/r-o-d/1498673868?i=1498673883&app=music&at=11lt62&ct=tracklink,2021-07-10 23.42.08.jpg (https://dl.airtable.com/.attachments/962f929bcae7526fb75aac60bad3ac66/e308c97d/2021-07-1023.42.08.jpg),
Right Back,A Boogie wit da Hoodie,Artist 2.0,https://geo.music.apple.com/ca/album/right-back/1498673868?i=1498673885&app=music&at=11lt62&ct=tracklink,2021-07-10 23.42.19.jpg (https://dl.airtable.com/.attachments/47da91cb00370988f8f8b88111150682/95d11226/2021-07-1023.42.19.jpg),
Stain (feat. DaBaby),A Boogie wit da Hoodie,Artist 2.0,https://geo.music.apple.com/ca/album/stain-feat-dababy/1498673868?i=1498673876&app=music&at=11lt62&ct=tracklink,2021-07-10 23.42.23.jpg (https://dl.airtable.com/.attachments/371339c0e1d6f36b5b5651a794eeb783/a3cb339c/2021-07-1023.42.23.jpg),
Streets Don't Love You,A Boogie wit da Hoodie,Artist 2.0,https://geo.music.apple.com/ca/album/streets-dont-love-you/1498673868?i=1498674105&app=music&at=11lt62&ct=tracklink,2021-07-10 23.42.28.jpg (https://dl.airtable.com/.attachments/21a96f3c036a0803e47cfc60eedeeb7a/7bc8c7b6/2021-07-1023.42.28.jpg),
Thug Love,A Boogie wit da Hoodie,Artist 2.0,https://geo.music.apple.com/ca/album/thug-love/1498673868?i=1498673869&app=music&at=11lt62&ct=tracklink,2021-07-10 23.42.33.jpg (https://dl.airtable.com/.attachments/bbb2168e8faa50e85b4e9859d112d58e/eae9e7d8/2021-07-1023.42.33.jpg),
24 Hours (feat. Lil Durk),A Boogie wit da Hoodie,24 Hours (feat. Lil Durk) - Single,https://geo.music.apple.com/ca/album/24-hours-feat-lil-durk/1568549450?i=1568549463&app=music&at=11lt62&ct=tracklink,,
Fratres,Academy of St Martin in the Fields,Live At The V&A,https://geo.music.apple.com/ca/album/fratres/1569499596?i=1569499605&app=music&at=11lt62&ct=tracklink,,
Velvet,Adam Lambert,VELVET,https://geo.music.apple.com/ca/album/velvet/1496899034?i=1496899035&app=music&at=11lt62&ct=tracklink,2021-07-11 23.36.50.jpg (https://dl.airtable.com/.attachments/7f43a29f8f37eedf610cb0943a0ff5eb/2bf59a9c/2021-07-1123.36.50.jpg),
Lost Stars,Adam Levine,Begin Again - Music From and Inspired By the Original Motion Picture (Deluxe),https://geo.music.apple.com/ca/album/lost-stars/1440819079?i=1440819085&app=music&at=11lt62&ct=tracklink,,
Usseewa,Ado,Usseewa - Single,https://geo.music.apple.com/ca/album/usseewa/1535123741?i=1535123742&app=music&at=11lt62&ct=tracklink,2021-07-10 12.44.46.jpg (https://dl.airtable.com/.attachments/d9c07a43dda8ac69b4137f1bf66fc1ca/755e3e56/2021-07-1012.44.46.jpg),
All I Really Want,Alanis Morissette,Jagged Little Pill (Remastered),https://geo.music.apple.com/ca/album/all-i-really-want/1050392837?i=1050392841&app=music&at=11lt62&ct=tracklink,2021-07-10 12.37.04.jpg (https://dl.airtable.com/.attachments/1b437952d505fe563723b0eaefd6a6f5/6c8a7012/2021-07-1012.37.04.jpg),
Forgiven,Alanis Morissette,Jagged Little Pill (Remastered),https://geo.music.apple.com/ca/album/forgiven/1050392837?i=1050392847&app=music&at=11lt62&ct=tracklink,2021-07-10 12.37.00.jpg (https://dl.airtable.com/.attachments/74cc2ffab119bd61d7c6f41f14216220/f46debaa/2021-07-1012.37.00.jpg),
Hand In My Pocket,Alanis Morissette,Jagged Little Pill (Remastered),https://geo.music.apple.com/ca/album/hand-in-my-pocket/1050392837?i=1050392844&app=music&at=11lt62&ct=tracklink,2021-07-10 12.36.55.jpg (https://dl.airtable.com/.attachments/2e557adbd671ed9cffae920997028e63/b4cbff6b/2021-07-1012.36.55.jpg),
Head Over Feet,Alanis Morissette,Jagged Little Pill (Remastered),https://geo.music.apple.com/ca/album/head-over-feet/1050392837?i=1050392849&app=music&at=11lt62&ct=tracklink,2021-07-10 12.37.08.jpg (https://dl.airtable.com/.attachments/ae01bf8e9532c190b0f80d47c3f9bcdc/2ea75824/2021-07-1012.37.08.jpg),
Ironic,Alanis Morissette,Jagged Little Pill (Remastered),https://geo.music.apple.com/ca/album/ironic/1050392837?i=1050393371&app=music&at=11lt62&ct=tracklink,2021-07-10 12.37.14.jpg (https://dl.airtable.com/.attachments/fbd122a5f0b2981278ab11d1dcddd77b/a708fbff/2021-07-1012.37.14.jpg),
Wake Up,Alanis Morissette,Jagged Little Pill (Remastered),https://geo.music.apple.com/ca/album/wake-up/1050392837?i=1050393376&app=music&at=11lt62&ct=tracklink,2021-07-10 12.37.18.jpg (https://dl.airtable.com/.attachments/b4e08c4c4578c7e561fda282edc9b0bc/8eb07f5f/2021-07-1012.37.18.jpg),
You Oughta Know,Alanis Morissette,Jagged Little Pill (Remastered),https://geo.music.apple.com/ca/album/you-oughta-know/1050392837?i=1050392842&app=music&at=11lt62&ct=tracklink,2021-07-10 12.37.27.jpg (https://dl.airtable.com/.attachments/eb81f070ddc49f3cb93f94e20fa6cae9/cf021c3d/2021-07-1012.37.27.jpg),
Oboe Concerto in F Major (After K. 293): I. Allegro,Albrecht Mayer & Deutsche Kammerphilharmonie Bremen,Mozart: Works for Oboe and Orchestra,https://geo.music.apple.com/ca/album/oboe-concerto-in-f-major-after-k-293-i-allegro/1545212460?i=1545212747&app=music&at=11lt62&ct=tracklink,,
"Flute and Harp Concerto, K. 299/297c (Arr. Spindler for Oboe, Harpsichord and Orchestra): II. Andantino","Albrecht Mayer,Vital Julian Frey & Deutsche Kammerphilharmonie Bremen",Mozart: Works for Oboe and Orchestra,https://geo.music.apple.com/ca/album/flute-harp-concerto-k-299-297c-arr-spindler-for-oboe/1545212460?i=1545213001&app=music&at=11lt62&ct=tracklink,,
"Flute and Harp Concerto, K. 299/297c (Arr. Spindler for Oboe, Harpsichord and Orchestra): III. Rondeau. Allegro","Albrecht Mayer,Vital Julian Frey & Deutsche Kammerphilharmonie Bremen",Mozart: Works for Oboe and Orchestra,https://geo.music.apple.com/ca/album/flute-harp-concerto-k-299-297c-arr-spindler-for-oboe/1545212460?i=1545213003&app=music&at=11lt62&ct=tracklink,,
"Preludes, Op. 28 No. 15 in D-Flat Major, Raindrop",Aldona Dvarionaité,Classical Composers Collections: 50 Best of Chopin,https://geo.music.apple.com/ca/album/preludes-op-28-no-15-in-d-flat-major-raindrop/459653650?i=459653771&app=music&at=11lt62&ct=tracklink,,
A Qué Sabe el Olvido,Alejandro Fernández,Hecho en México,https://geo.music.apple.com/ca/album/a-qu%C3%A9-sabe-el-olvido/1495082737?i=1495082741&app=music&at=11lt62&ct=tracklink,2021-07-11 18.48.26.jpg (https://dl.airtable.com/.attachments/cc11492fa28c352a2599e212749effb5/0f377d4e/2021-07-1118.48.26.jpg),
Caballero,Alejandro Fernández,Hecho en México,https://geo.music.apple.com/ca/album/caballero/1495082737?i=1495082743&app=music&at=11lt62&ct=tracklink,2021-07-11 18.48.31.jpg (https://dl.airtable.com/.attachments/771b64e98dc4841f8e7ed2cc7b54c536/2ac43aa2/2021-07-1118.48.31.jpg),
Hasta en Mis Huesos,Alejandro Fernández,Hecho en México,https://geo.music.apple.com/ca/album/hasta-en-mis-huesos/1495082737?i=1495082756&app=music&at=11lt62&ct=tracklink,2021-07-11 18.48.47.jpg (https://dl.airtable.com/.attachments/4daddcd9e7c72e2f8dd6de5de2a4d0c9/4bbd3c15/2021-07-1118.48.47.jpg),
La Mesa 20,Alejandro Fernández,Hecho en México,https://geo.music.apple.com/ca/album/la-mesa-20/1495082737?i=1495082755&app=music&at=11lt62&ct=tracklink,2021-07-11 18.49.08.jpg (https://dl.airtable.com/.attachments/2691a1828000223ebf9914b3207300dd/0e6d2334/2021-07-1118.49.08.jpg),
Mudanza a la Luna,Alejandro Fernández,Hecho en México,https://geo.music.apple.com/ca/album/mudanza-a-la-luna/1495082737?i=1495082750&app=music&at=11lt62&ct=tracklink,2021-07-11 18.50.13.jpg (https://dl.airtable.com/.attachments/704a785c81cf07aa9bc044b8790ca2f6/e143db3f/2021-07-1118.50.13.jpg),
Nuestro Gran Secreto,Alejandro Fernández,Hecho en México,https://geo.music.apple.com/ca/album/nuestro-gran-secreto/1495082737?i=1495082757&app=music&at=11lt62&ct=tracklink,2021-07-11 18.50.36.jpg (https://dl.airtable.com/.attachments/943f781bcb47d02bd9dd00c9a50b6ae4/d66118ce/2021-07-1118.50.36.jpg),
Por Tu Adiós,Alejandro Fernández,Hecho en México,https://geo.music.apple.com/ca/album/por-tu-adi%C3%B3s/1495082737?i=1495082751&app=music&at=11lt62&ct=tracklink,2021-07-11 18.50.42.jpg (https://dl.airtable.com/.attachments/5a7f32c41ac4d5a7e330f38528fa75d4/bf6c31ed/2021-07-1118.50.42.jpg),
Decepciones,Alejandro Fernández & Calibre 50,Decepciones - Single,https://geo.music.apple.com/ca/album/decepciones/1527441023?i=1527441035&app=music&at=11lt62&ct=tracklink,,
Más No Puedo,Alejandro Fernández & Christian Nodal,Hecho en México,https://geo.music.apple.com/ca/album/m%C3%A1s-no-puedo/1495082737?i=1495082748&app=music&at=11lt62&ct=tracklink,,
Here (Live off the Floor (Bonus Track)),Alessia Cara,This Summer: Live off the Floor,https://geo.music.apple.com/ca/album/here-live-off-the-floor-bonus-track/1523769634?i=1523769872&app=music&at=11lt62&ct=tracklink,2021-07-11 18.52.03.jpg (https://dl.airtable.com/.attachments/5ba3315e15e7d0af0231d30d3754083c/86da1c37/2021-07-1118.52.03.jpg),
Like You (Live off the Floor),Alessia Cara,This Summer: Live off the Floor,https://geo.music.apple.com/ca/album/like-you-live-off-the-floor/1523769634?i=1523769861&app=music&at=11lt62&ct=tracklink,2021-07-11 18.52.09.jpg (https://dl.airtable.com/.attachments/abe7e9aa4da9fe075a8a6e299f99889d/ca384154/2021-07-1118.52.09.jpg),
October (Live off the Floor),Alessia Cara,This Summer: Live off the Floor,https://geo.music.apple.com/ca/album/october-live-off-the-floor/1523769634?i=1523769864&app=music&at=11lt62&ct=tracklink,2021-07-11 18.52.13.jpg (https://dl.airtable.com/.attachments/997b104bb3b731b817d31da2bfb2ff2e/79eac525/2021-07-1118.52.13.jpg),
OKAY OKAY (Live off the Floor),Alessia Cara,This Summer: Live off the Floor,https://geo.music.apple.com/ca/album/okay-okay-live-off-the-floor/1523769634?i=1523769862&app=music&at=11lt62&ct=tracklink,2021-07-11 18.52.19.jpg (https://dl.airtable.com/.attachments/9d3912636dcfbbac7d826635671235e6/386da3ed/2021-07-1118.52.19.jpg),
Ready (Live off the Floor),Alessia Cara,This Summer: Live off the Floor,https://geo.music.apple.com/ca/album/ready-live-off-the-floor/1523769634?i=1523769859&app=music&at=11lt62&ct=tracklink,2021-07-11 18.52.43.jpg (https://dl.airtable.com/.attachments/ed39f02d220992c68b12bfc024fadc4e/c09f5915/2021-07-1118.52.43.jpg),
Rooting for You (Live off the Floor),Alessia Cara,This Summer: Live off the Floor,https://geo.music.apple.com/ca/album/rooting-for-you-live-off-the-floor/1523769634?i=1523769863&app=music&at=11lt62&ct=tracklink,2021-07-11 18.52.49.jpg (https://dl.airtable.com/.attachments/5c3947188be66349b3562653b87f7863/e310c7a5/2021-07-1118.52.49.jpg),
Scars to Your Beautiful (Live off the Floor (Bonus Track)),Alessia Cara,This Summer: Live off the Floor,https://geo.music.apple.com/ca/album/scars-to-your-beautiful-live-off-the-floor-bonus-track/1523769634?i=1523769868&app=music&at=11lt62&ct=tracklink,2021-07-11 18.52.57.jpg (https://dl.airtable.com/.attachments/52f4f27981789bae4c5bc1dce622e6db/8b76ccc2/2021-07-1118.52.57.jpg),
Summertime (Live off the Floor),Alessia Cara,This Summer: Live off the Floor,https://geo.music.apple.com/ca/album/summertime-live-off-the-floor/1523769634?i=1523769854&app=music&at=11lt62&ct=tracklink,2021-07-11 18.53.08.jpg (https://dl.airtable.com/.attachments/6a1c540631a32b6425326fb1679ae23a/e2d41276/2021-07-1118.53.08.jpg),
What's on Your Mind? (Live off the Floor),Alessia Cara,This Summer: Live off the Floor,https://geo.music.apple.com/ca/album/whats-on-your-mind-live-off-the-floor/1523769634?i=1523769860&app=music&at=11lt62&ct=tracklink,2021-07-11 18.53.15.jpg (https://dl.airtable.com/.attachments/6f8545d3b29ffea1df8cf900815297bf/df4152ce/2021-07-1118.53.15.jpg),
"I Choose (From the Netflix Original Film ""The Willoughbys"")",Alessia Cara,"""I Choose (From the Netflix Original Film """"The Willoughbys"""") - Single""",https://geo.music.apple.com/ca/album/i-choose-from-the-netflix-original-film-the-willoughbys/1504309074?i=1504309084&app=music&at=11lt62&ct=tracklink,,
Scars to Your Beautiful,Alessia Cara,Know-It-All (Deluxe),https://geo.music.apple.com/ca/album/scars-to-your-beautiful/1440837313?i=1440837329&app=music&at=11lt62&ct=tracklink,,
Sad Song (feat. TINI),Alesso,Sad Song - Single (feat. TINI) - Single,https://geo.music.apple.com/ca/album/sad-song-feat-tini/1466826019?i=1466826124&app=music&at=11lt62&ct=tracklink,,
Midnight (feat. Liam Payne),Alesso,Midnight (feat. Liam Payne) - Single,https://geo.music.apple.com/ca/album/midnight-feat-liam-payne/1502338860?i=1502338863&app=music&at=11lt62&ct=tracklink,,
A Woman's Worth,Alicia Keys,Songs In A Minor (Expanded Edition),https://geo.music.apple.com/ca/album/a-womans-worth/437027826?i=437027837&app=music&at=11lt62&ct=tracklink,2021-07-10 12.47.04.jpg (https://dl.airtable.com/.attachments/e17c30d336a5a64888ae0fa61d9dd736/940a5bca/2021-07-1012.47.04.jpg),
