Song Title,Primary Artist,Album/Single/EP,Apple Music URL,Artwork,Country-Restricted (Check if unavailable in certain countries)
U & Me,ILLENIUM & Sasha Sloan,Fallen Embers,https://geo.music.apple.com/ca/album/u-me/1572859144?i=1572859306&app=music&at=11lt62&ct=tracklink,2021-07-11 23.30.59.jpg (https://dl.airtable.com/.attachments/1b2a67a4bc411c657f78b20d1b7c7df0/9f1f56af/2021-07-1123.30.59.jpg),
Blame Myself,ILLENIUM & Tori Kelly,Fallen Embers,https://geo.music.apple.com/ca/album/blame-myself/1572859144?i=1572859297&app=music&at=11lt62&ct=tracklink,2021-07-11 23.30.55.jpg (https://dl.airtable.com/.attachments/7cdb9403f43164ea36f6f51daedc96bd/07604323/2021-07-1123.30.55.jpg),
Hearts on Fire,"ILLENIUM,Dabin & Lights",Hearts on Fire - Single,https://geo.music.apple.com/ca/album/hearts-on-fire/1541844710?i=1541844711&app=music&at=11lt62&ct=tracklink,,
In My Mind,"ILLENIUM,Excision & HALIENE",Fallen Embers,https://geo.music.apple.com/ca/album/in-my-mind/1572859144?i=1572859315&app=music&at=11lt62&ct=tracklink,2021-07-11 23.30.52.jpg (https://dl.airtable.com/.attachments/d047363511d7d732237e92a1d348bcf7/682108c1/2021-07-1123.30.52.jpg),
Lay It Down,"ILLENIUM,Krewella & SLANDER",Fallen Embers,https://geo.music.apple.com/ca/album/lay-it-down/1572859144?i=1572859311&app=music&at=11lt62&ct=tracklink,2021-07-11 23.30.48.jpg (https://dl.airtable.com/.attachments/7c3c78671515d78374afcadc45ea60f0/fb0868c4/2021-07-1123.30.48.jpg),
Crazy Times,"ILLENIUM,Said The Sky & Rock Mafia",Fallen Embers,https://geo.music.apple.com/ca/album/crazy-times/1572859144?i=1572859322&app=music&at=11lt62&ct=tracklink,2021-07-11 23.30.42.jpg (https://dl.airtable.com/.attachments/dc1c76af515c8a98d4eb47badaf08fc9/41b914ec/2021-07-1123.30.42.jpg),
Paper Thin,"ILLENIUM,Tom DeLonge & Angels & Airwaves",Paper Thin - Single,https://geo.music.apple.com/ca/album/paper-thin/1535102036?i=1535102042&app=music&at=11lt62&ct=tracklink,,
Sideways,"ILLENIUM,Valerie Broussard & Nurko",Fallen Embers,https://geo.music.apple.com/ca/album/sideways/1572859144?i=1572859303&app=music&at=11lt62&ct=tracklink,2021-07-11 23.30.37.jpg (https://dl.airtable.com/.attachments/cbc4953aee742539ab3d697cc843a8f1/e3dcf5cf/2021-07-1123.30.37.jpg),
Santa Claus Is Coming to Town,Ima,Christmas,https://geo.music.apple.com/ca/album/santa-claus-is-coming-to-town/336659065?i=336659215&app=music&at=11lt62&ct=tracklink,,
Cutthroat,Imagine Dragons,Follow You / Cutthroat - Single,https://geo.music.apple.com/ca/album/cutthroat/1557714984?i=1557715156&app=music&at=11lt62&ct=tracklink,,
Follow You,Imagine Dragons,Mercury - Act 1,https://geo.music.apple.com/ca/album/follow-you/1574210519?i=1574210914&app=music&at=11lt62&ct=tracklink,,
